Checkpoint;Estacion;Actividad;Orden;Status cliente;Status cliente 2;;
Inicio reserva virtual mercadería;Almacén;Picking  ;9;Gestión de picking de mercadería;En proceso de preparación del pedido;;
Fin reserva virtual mercadería;Almacén;Picking  ;1;Gestión de picking de mercadería;En proceso de preparación del pedido;;
Traslado de mercadería física (Almacén);Almacén;;9;Recepción de mercadería;En proceso de preparación del pedido;;
Marca Stock  ;Almacén;;9;En coordinación de disponibilidad del producto;En proceso de preparación del pedido;;
Grilla Almacén;Almacén;Picking  ;0;Gestión de picking de mercadería;En proceso de preparación del pedido;;
Registro de fecha entrega coordinada con el proveedor;Compras Importaciones;;9; En abastecimiento interno de la mercadería;En proceso de preparación del pedido;;
Creación de la Orden de Compra al Proveedor;Compras Importaciones;Creación de OC en el sistema  ;9; En abastecimiento interno de la mercadería;En proceso de preparación del pedido;;
Aprobación del monto de la Orden de Compra;Compras Importaciones;Aprobación de OC  ;9; En abastecimiento interno de la mercadería;En proceso de preparación del pedido;;
Envío de la Orden de Compra al proveedor (Correo u otros medios);Compras Importaciones;Emisión y envío de OC  ;9; En abastecimiento interno de la mercadería;En proceso de preparación del pedido;;
Confirmación de recepcion de la Orden de Compra Proveedor;Compras Importaciones;;9; En abastecimiento interno de la mercadería;En proceso de preparación del pedido;;
Aprobacion de pago al proveedor (Transferencia);Compras Importaciones;Proceso de pago  ;9; En abastecimiento interno de la mercadería;En proceso de preparación del pedido;;
Pago al proveedor- Confirmación de pago al área de compras (Transferencia;Compras Importaciones;Proceso de pago  ;9; En abastecimiento interno de la mercadería;En proceso de preparación del pedido;;
Solicitud de pago al proveedor (Transferencia);Compras Importaciones;Pendiente de envío a expedición  ;9; En abastecimiento interno de la mercadería;En proceso de preparación del pedido;;
Envío al expeditador;Compras Importaciones;Pendiente de envío a expedición  ;1; En abastecimiento interno de la mercadería;En proceso de preparación del pedido;;
Promesa Proveedor Previa Expedit Imp  ;Compras Importaciones;;9; En abastecimiento interno de la mercadería;En proceso de preparación del pedido;;
Grilla Compras Importaciones;Compras Importaciones;Creación de OC en el sistema  ;0; En abastecimiento interno de la mercadería;En proceso de preparación del pedido;;
Grilla Spend Category Comprador Importado: Pendiente;Compras Importaciones;;9; En abastecimiento interno de la mercadería;En proceso de preparación del pedido;;
Grilla Spend Category Comprador Importado: Aprobado;Compras Importaciones;;9; En abastecimiento interno de la mercadería;En proceso de preparación del pedido;;
Grilla Spend Category Comprador Importado: Transferido;Compras Importaciones;;9; En abastecimiento interno de la mercadería;En proceso de preparación del pedido;;
Inicio de compra del item;Compras Nacionales;Creación de OC en el sistema  ;9; En abastecimiento interno de la mercadería;En proceso de preparación del pedido;;
